1,BakedSalmon,156,6,0,23
2,ChickenBreast,142,3,0,27
3,SourDough,185,1,36,8
4,MacaroniAndCheese,200,6,28,8
5,po boy,710,23,86,38
6,BeanCheeseBurrito,285,8,44,9
7,BBQBeefSteak,775,66,7,45
8,SpaghettiMeatSauce,310,6,48,16
9,FriedRice,570,18,85,16
10,PanCakes,420,5,82,9
11,FrenchToastStuffedBlueberryCreamCheese,730,19,90,15
12,ScrambledEggPlatterBaconHashbrownsBiscuit,700,45,56,23
13,BurritoEnchiladoSteak,1330,55,144,64
14,Calzones,470,20,46,26
15,WholePepperoniPizza,2520,132,360,120
16,Oreos,53.3,2.3,8.3,0.3
17,Pringles,279,18.8,25,2.3
18,Popcorn,93,1.1,18.7,3.1
19,RiceKrispies,180,4,34,1
20,Reese's(buttercups),87,5,9,1.7
21,CoolRanchDoritos,150,8,18,2
22,Skittles,160,1.5,37,0
23,Funyuns,140,7,18,2
24,ChipsAhoy,160,8,22,1
25,WheatThins,140,5,22,2
26,GoldFish,140,5,0,3
27,FrenchFry,95,10.5,29,2
28,SlimJim,270,22,9,11
29,RanchCornNuts,220,8,34,4
30,HostessTwinkies,270,9,46,2